"episode_number","title","date"
50,"Dr. David Berson: Your Brain’s Logic & Function",2021-12-13
49,"Erasing Fears & Traumas Based on the Modern Neuroscience of Fear",2021-12-06
48,"Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term",2021-11-29
47,"The Science of Gratitude & How to Build a Gratitude Practice",2021-11-22
46,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones",2021-11-15
45,"Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization",2021-11-08
44,"Using Your Nervous System to Enhance Your Immune System",2021-11-01
43,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood",2021-10-25
42,"Nutrients For Brain Health & Performance",2021-10-18
41,"Effects of Fasting & Time Restricted Eating on Fat Loss & Health",2021-10-11
40,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health",2021-10-04
39,"Controlling Your Dopamine For Motivation, Focus & Satisfaction",2021-09-27
38,"Dr. Matthew Johnson: Psychedelics for Treating Mental Disorders",2021-09-20
37,"ADHD & How Anyone Can Improve Their Focus",2021-09-13
36,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging",2021-09-06
35,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will",2021-08-30
34,"Understanding & Conquering Depression",2021-08-23
33,"Dr. Anna Lembke: Understanding & Treating Addiction",2021-08-16
32,"How to Control Your Sense of Pain & Pleasure",2021-08-09
31,"Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep",2021-08-02
30,"How to Optimize Your Brain-Body Function & Health",2021-07-26
29,"Dr. Lex Fridman: Machines, Creativity & Love",2021-07-19
28,"Maximizing Productivity, Physical & Mental Health with Daily Tools",2021-07-12
27,"The Science of Hearing, Balance & Accelerated Learning",2021-07-05
26,"Dr. Karl Deisseroth: Understanding & Healing the Mind",2021-06-28
25,"How Smell, Taste & Pheromone-Like Chemicals Control You",2021-06-21
24,"The Science of Vision, Eye Health & Seeing Better",2021-06-14
23,"How To Build Endurance In Your Brain & Body",2021-06-07
22,"Science of Muscle Growth, Increasing Strength & Muscular Recovery",2021-05-31
21,"How to Lose Fat with Science-Based Tools",2021-05-24
20,"How to Learn Skills Faster",2021-05-17
19,"Supercharge Exercise Performance & Recovery with Cooling",2021-05-10
18,"Using Cortisol & Adrenaline to Boost Our Energy & Immune System Function",2021-05-03
17,"How to Control Your Metabolism by Thyroid & Growth Hormone",2021-04-26
16,"How Our Hormones Control Our Hunger, Eating & Satiety",2021-04-19
15,"The Science of How to Optimize Testosterone & Estrogen",2021-04-12
14,"Biological Influences On Sex, Sex Differences & Preferences",2021-04-05
13,"The Science of Emotions & Relationships",2021-03-29
12,"How to Increase Motivation & Drive",2021-03-22
11,"How Foods and Nutrients Control Our Moods",2021-03-15
10,"Tools for Managing Stress & Anxiety",2021-03-08
9,"Control Pain & Heal Faster with Your Brain",2021-03-01
8,"Optimize Your Learning & Creativity with Science-based Tools",2021-02-22
7,"Using Failures, Movement & Balance to Learn Faster",2021-02-15
6,"How to Focus to Change Your Brain",2021-02-08
5,"Understanding and Using Dreams to Learn and to Forget",2021-02-01
4,"How to Defeat Jetlag, Shift Work & Sleeplessness",2021-01-25
3,"Using Science to Optimize Sleep, Learning & Metabolism",2021-01-18
2,"Master Your Sleep & Be More Alert When Awake", "Jan 11,2021-01-11
1,"How Your Nervous System Works & Changes",2021-01-04
