"episode_number","title","date"
204,"Money Expert: These 5 Money Habits Are Keeping You POOR! | Codie Sanchez",2024-02-05
203,"’This Keeps 99% Single!’ Chris Williamson on The Dating Crisis, Building Wealth, and Becoming The 1%",2024-01-28
202,"’This Is Why You’re Single!’ - Divorce Lawyer on Love, Lies, and Cheating | James Sexton",2024-01-21
201,"Everything You’ve Been Taught About Money Is WRONG! | Caleb Hammer",2024-01-16
200,"Matt Walsh on Toxic Masculinity, Cancel Culture, and Becoming The Top 0.1%",2024-01-07
199,"THEY LIE TO STEAL YOUR MONEY (Avoid The #1 Wealth Killer In 2024)",2023-12-31
198,"More Plates More Dates on Exposing Fitness Scams, Getting Women, and Living Forever",2023-12-28
197,"Harvard Psychologist Reveals How THEY Keep You BROKE, Miserable, And Lazy | Dr. John Delony",2023-12-17
196,"Harvard Psychiatrist on How To Get Ahead of 99.9% of People (Starting NOW)",2023-12-11
195,"Alex Hormozi’s Guide To Get INSANELY Rich in 2024",2023-12-04
194,"Ben Mallah On The 2024 Housing Bubble, Getting Rich, & Going Broke",2023-11-28
193,"Confronting Grant Cardone on Fake Gurus, Scientology, and Going Broke",2023-11-19
192,"Dave Ramsey on Retiring, Getting Divorced, and Going Bankrupt",2023-11-13
191,"’This KEEPS 99% Broke And Miserable!’ - Fix THIS! | Jason & Brett Oppenheim",2023-11-06
190,"Navy Seal ’MrBallen’ Reveals Near Death Experience, Rescue Missions, & Millionaire Mindset",2023-10-30
189,"Vivek Ramaswamy on Toxic Wokeism, Alien Existence, and Becoming President",2023-10-26
188,"The Biggest Lies You’ve Been Told About Money | Tom Bilyeu on Wealth, Love, and Poverty",2023-10-23
187,"Tai Lopez on Andrew Tate, Dating Models, And Becoming The 1%",2023-10-08
186,"The Subtle Art Of Not Giving A F*ck | The Secret of Life, Sex and Money",2023-10-02
185,"Justin Waller on Andrew Tate, Masculinity, and Becoming The 1%",2023-09-17
184,"Patrick Bet-David’s on Starting His $400,000,000 Business Empire",2023-09-10
183,"How Ben Shapiro Runs His $200,000,000 Media Empire",2023-09-03
182,"Why ALL Content Houses Fail: Jealousy, Greed, Bankruptcy",2023-09-02
181,"The Greatest Bodybuilder Of All Time | Ronnie Coleman",2023-08-27
