"episode_number","title","date"
407,"Rick Ross on Adin Ross Getting Scammed, Defends Taylor Swift & Kanye West, Addresses Nicki Minaj",2024-02-06
406,"Our Ex Co-Host Is BACK! Life After IMPAULSIVE, Meeting Jesus, Logan Addresses WWE Injury",2024-01-31
405,"The John Cena Interview",2024-01-24
404,"Chris Hansen On Catching Predators, Jeffrey Epstein’s Island, Students Hooking Up w/ Teachers",2024-01-16
403,"Rubi Rose On Hooking Up w/ White Men, Responds to Tate Brothers, Exposes Rich Crypto Stalker",2024-01-09
402,"IMPAULSIVE’S TOP 23 MOMENTS OF 2023",2023-12-26
401,"Jake & Logan Paul Fight Over KSI, Offer $20M To Andrew Tate And His Brother For MMA Superfight",2023-12-19
400,"Famous 13 Year Old Hijacks Logan Paul’s Interview",2023-12-12
399,"Randy Orton Returns To WWE",2023-12-05
398,"Casey Neistat’s Falling Out with David Dobrik, PRIME vs. Feastables, #1 Advice for YouTubers",2023-11-21
397,"Logan Paul Saves Rey Mysterio’s Life, MrBeast Makes Huge Mistake, PRIME Sells $1.2 Billion",2023-11-14
396,"Sofia Franklyn On Hooking Up with Nelk, Leaks Logan Paul’s Net Worth & Her Body Count",2023-11-07
395,"KSI on Beating Tommy Fury, End of the Sidemen, Fighting Jake Paul",2023-10-31
394,"Mark Cuban on Giving MrBeast $1,000,000, Elon Musk Ruining Twitter, Rejecting Jake Paul",2023-10-25
393,"Logan Paul on Beating Dillon Danis, KSI Losing vs Tommy Fury, Apologizing to Nina Agdal",2023-10-17
392,"Logan & Jake Paul Face Off, Address Steroid Accusations, Expose Dillon Danis",2023-09-14
391,"Akon & Logan Paul Debate Christianity, Share Michael Jackson’s Secret, Eminem Co-Hosting IMPAULSIVE",2023-09-05
390,"Erling Haaland Predicts KSI Loss, Winning Premier League, Dillon Danis vs Logan Paul",2023-08-29
389,"RackaRacka on Making Logan Paul & KSI Billionaires, Earning $36M from Horror Film ‘Talk To Me’",2023-08-15
388,"Jake Paul & Logan Paul on Double Victory (Boxing/WWE), KSI vs Tommy Fury, Fighting Dillon Danis",2023-08-08
387,"Nina Agdal On Marrying Logan Paul, Making Him Wait to Hook Up, Becoming A Supermodel",2023-08-01
386,"Logan Paul Gets Engaged, Andrew Tate Escapes Prison, Full Send VS Schulz, FDA Investigating PRIME?!",2023-07-25
385,"Seth Rollins On Beating Logan At WrestleMania, Getting Attacked by Fan, Hatred for Dominik Mysterio",2023-07-18
384,"Bear Grylls On Firing At KSI, Drinking His Own Urine, Man vs. Wild Best Moments",2023-07-11
383,"Logan Paul Announces UFC Debut On Elon VS Zuck Undercard, KSI v. Tommy Fury, MrBeast Is Thirsty",2023-07-04
382,"Prince Royce On Relationship w/ Jennifer Lopez, Logan’s Cringe Singing, Being Robbed in LA",2023-06-27
381,"Alex Volkanovski On Sparring Logan Paul, Message To Dana White, Wild Aussie Girls",2023-06-20
380,"Nicky Jam On Logan Paul VS Bad Bunny, Sliding in Lana Rhoades DM, Rise Of Peso Pluma",2023-06-13
379,"Israel Adesanya Chokes Out Logan Paul, Hated By Jon Jones, Signs $$ Deal w/ PRIME",2023-06-06
378,"Jake Paul Snaps On Theo Von, Conor McGregor’s Wife & KSI’s Illegal Punch",2023-05-30
377,"David Blaine’s Magic SHOCKS Logan Paul, Exposes MrBeast, Frog Swallow Trick Revealed",2023-05-23
376,"Ice Cube On Death Threats From Suge Knight, Fallout w/ Kevin Hart, LeBron VS Jordan",2023-05-16
375,"Jeff Wittek Joins IMPAULSIVE, Logan Paul Reveals Shocking UFO Video, Suing Nate Diaz",2023-05-09
374,"The Kevin Hart Interview",2023-05-02
373,"Edge Addresses Logan Paul Ruining WWE, Roman Reigns Losing, Turning Down Undertaker",2023-04-25
372,"Bert Kreischer Exposes Joe Rogan & Theo Von, Accidentally Joins The Russian Mafia",2023-04-18
371,"Rey Mysterio Removes Mask, Regrets Beating His Son, Logan Paul Honors Eddie Guerrero",2023-04-11
370,"Logan Paul Finally Beats KSI, Hasbulla Cancelled, Kim Kardashian Caught w/ PRIME",2023-04-04
369,"Ryan Garcia Says KSI Is Trash, Will KO Gervonta Davis, Mayweather Jumps Jake",2023-03-28
368,"Logan Paul Ditched Lele Pons & Guaynaa’s Wedding, Turning Down $20M From WWE",2023-03-21
367,"Dave Portnoy Sells Barstool For $610M, Calls KSI Irrelevant, Admits He Lied To Rogan",2023-03-14
366,"Jake Paul Devastated After Tommy Fury Loss, Embarrassed By KSI & Cristiano Ronaldo",2023-03-07
365,"LazarBeam & Logan Paul Call Out MrBeast For Stealing, Adin Ross Banned From Twitch",2023-02-28
364,"Nick Kyrgios ‘Tennis Bad Boy’ On Beating Nadal Hungover, JiDion’s Haircut Prank",2023-02-21
363,"The KSI Interview: Jake Paul v. Tommy Fury, Gets Back With Ex, Calls Out Speed",2023-02-14
362,"Bruce Buffer On Logan Paul Fighting UFC, Dark Times w/ Dana White, Battling McGregor",2023-02-07
361,"E363 Cody Rhodes Wins Royal Rumble, Logan Paul Joins UFC, George Janko Lied To You",2023-01-31
360,"E362 Kehlani Is Scared Of Logan & Mike, Explores Her Sexuality, Dating Men VS. Women",2023-01-24
359,"E361 Yung Gravy On Hooking Up w/ Addison Rae’s Mom, Lisa Ann & Elon Musk Trashing Logan",2023-01-17
358,"E360 Andrew Santino On Fall Of Logan Paul & Kanye, Ex-Girlfriends, Bobby Lee VS George",2023-01-10
357,"E359 Logan Paul Addresses Crypto Scam Allegations, Apologizes To George For Mocking Faith",2023-01-04
356,"E358 IMPAULSIVE’S TOP 22 MOMENTS OF 2022",2022-12-27
355,"E357 Wiz Khalifa Reveals Mia Khalifa Relationship, Gets Logan Paul Baked, Losing Mac",2022-12-20
354,"E356 Logan Paul Praises Andrew Tate, Slams Liver King For Lying, Warns Paddy The Baddy",2022-12-13
353,"E355 FaZe Banks Confesses Love For Alissa Violet, Hatred For Jake Paul, Adin Ross",2022-12-06
352,"E354 David Guetta’s Supermodel Hit List, Ibiza Blackouts, Why French Hate Americans",2022-11-29
351,"E353 Rob Dyrdek On Jake Paul’s Failure, The Death of Big, Living Forever",2022-11-22
350,"E352 Logan Paul Confirms Tate VS Jake, Rejects $1B From Elon Musk, Calls Out John Cena",2022-11-15
349,"E351 Bobby Lee Confesses Love For KSI & Lana Rhoades, Urges Kanye West To Seek Help",2022-11-08
348,"E350 Jake Paul Beats Silva, Hates Logan & KSI’s Friendship, Reveals Next Opponent",2022-11-01
347,"E349 Shawn Michaels On Logan Paul VS Roman Reigns, Triple H Saving His Life, WWE Future",2022-10-25
346,"E348 Gabriel Iglesias Confronts Travis Scott, Obesity, Last Words To Robin Williams",2022-10-18
345,"E347 Sebastian Maniscalco’s Beef With Joe Rogan & Jake Paul’s Team 10 House",2022-10-11
344,"E346 Shaq Talks Kobe Regrets, Why LeBron Isn’t GOAT, Says Logan Is Next Jeffrey Dahmer",2022-10-04
343,"E345 Logan Paul Fires Co-Hosts, Exposes New Girlfriend, Bashes Deji VS. Mayweather",2022-09-27
342,"E344 Michael Blackson On Kevin Hart Beef, Nick Cannon’s Addiction, Pulling Side Chicks",2022-09-20
341,"E343 Roman Reigns Embarrasses Logan Paul, Reveals John Cena Beef & Fighting The Rock",2022-09-13
340,"E342 Roman Atwood On Quitting YouTube, Surviving Stalker FBI Raid, Having 3 Wives",2022-09-06
339,"E341 Logan Paul’s Message To Andrew Tate and KSI",2022-08-30
338,"E340 Charlamagne Reveals Lana Rhoades’ Baby Daddy, Calls Out 6ix9ine & Post Malone",2022-08-23
337,"E339 Markiplier Tells Logan Paul How To Make $38M From YouTube, Death Of Unus Annus",2022-08-16
336,"E338 Jake Paul Rips KSI’s Boxing Career, Exposes DM From Andrew Tate",2022-08-09
335,"E337 Triple H On Logan Paul Joining WWE, Rivalry With The Rock & Stone Cold",2022-08-02
334,"E336 Dane Cook’s Brother Stole $15M From Him, Andrew Schulz & Dave Chappelle Censorship",2022-07-26
333,"E335 Logic Raps LIVE, Comes Out Of Retirement, Exposes 6ix9ine As A Fraud",2022-07-19
