"episode_number","title","date"
411,"Omar Suleiman: Palestine, Gaza, Oct 7, Israel, Resistance, Faith & Islam",2024-02-01
410,"Ben Shapiro vs Destiny Debate: Politics, Jan 6, Israel, Ukraine & Wokeism",2024-01-23
409,"Matthew Cox: FBI Most Wanted Con Man – $55 Million in Bank Fraud",2024-01-17
408,"Tal Wilkenfeld: Music, Guitar, Bass, Jeff Beck, Prince, and Leonard Cohen",2024-01-09
407,"Guillaume Verdon: Beff Jezos, E/acc Movement, Physics, Computation & AGI",2023-12-29
406,"Teddy Atlas: Mike Tyson, Cus D’Amato, Boxing, Loyalty, Fear & Greatness",2023-12-24
405,"Jeff Bezos: Amazon and Blue Origin",2023-12-14
404,"Lee Cronin: Controversial Nature Paper on Evolution of Life and Universe",2023-12-09
403,"Lisa Randall: Dark Matter, Theoretical Physics, and Extinction Events",2019-12-03
402,"Michael Malice: Thanksgiving Pirate Special",2023-11-25
401,"John Mearsheimer: Israel-Palestine, Russia-Ukraine, China, NATO, and WW3",2023-11-18
400,"Elon Musk: War, AI, Aliens, Politics, Physics, Video Games, and Humanity",2023-11-09
399,"Jared Kushner: Israel, Palestine, Hamas, Gaza, Iran, and the Middle East",2023-10-11
398,"Mark Zuckerberg: First Interview in the Metaverse",2023-09-28
397,"Greg Lukianoff: Cancel Culture, Deplatforming, Censorship & Free Speech",2023-09-24
396,"James Sexton: Divorce Lawyer on Marriage, Relationships, Sex, Lies & Love",2023-09-17
395,"Walter Isaacson: Elon Musk, Steve Jobs, Einstein, Da Vinci & Ben Franklin",2023-09-10
394,"Neri Oxman: Biology, Art, and Science of Design & Engineering with Nature",2023-09-01
393,"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love",2023-08-17
392,"Joscha Bach: Life, Intelligence, Consciousness, AI & the Future of Humans",2023-08-01
391,"Mohammed El-Kurd: Palestine",2023-07-24
390,"Yuval Noah Harari: Human Nature, Intelligence, Power, and Conspiracies",2023-07-17
389,"Benjamin Netanyahu: Israel, Palestine, Power, Corruption, Hate, and Peace",2023-07-12
388,"Robert F. Kennedy Jr: CIA, Power, Corruption, War, Freedom, and Meaning",2023-07-06
387,"George Hotz: Tiny Corp, Twitter, AI Safety, Self-Driving, GPT, AGI & God",2023-06-29
386,"Marc Andreessen: Future of the Internet, Technology, and AI",2023-06-21
385,"Jimmy Wales: Wikipedia",2023-06-18
384,"Matthew McConaughey: Freedom, Truth, Family, Hardship, and Love",2023-06-13
383,"Mark Zuckerberg: Future of AI at Meta, Facebook, Instagram, and WhatsApp",2023-06-08
382,"Bert Kreischer: Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un",2023-06-05
381,"Chris Lattner: Future of Programming and AI",2023-06-02
380,"Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication",2023-05-28
379,"Randall Kennedy: The N-Word - History of Race, Law, Politics, and Power",2023-05-24
378,"Anna Frebel: Origin and Evolution of the Universe, Galaxies, and Stars",2023-05-18
377,"Harvey Silverglate: Freedom of Speech",2023-05-16
376,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality & Computation",2023-05-09
375,"David Pakman: Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism",2023-05-06
374,"Robert Playter: Boston Dynamics CEO on Humanoid and Legged Robotics",2023-04-28
373,"Manolis Kellis: Evolution of Human Civilization and Superintelligent AI",2023-04-21
372,"Simone Giertz: Queen of Sh*tty Robots, Innovative Engineering, and Design",2023-04-16
371,"Max Tegmark: The Case for Halting AI Development",2023-04-13
370,"Edward Frenkel: Reality is a Paradox – Mathematics, Physics, Truth & Love",2023-04-09
369,"Paul Rosolie: Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca",2023-04-04
368,"Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization",2023-03-30
367,"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI",2023-03-25
366,"Shannon Curry: Johnny Depp & Amber Heard Trial, Marriage, Dating & Love",2023-03-21
365,"Sam Harris: Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs",2023-03-14
364,"Chris Voss: FBI Hostage Negotiator",2023-03-10
363,"B-Team Jiu Jitsu: Craig Jones, Nicky Rod, and Nicky Ryan",2023-03-06
362,"Ginni Rometty: IBM CEO on Leadership, Power, and Adversity",2023-03-02
361,"Aaron Smith-Levin: Scientology",2023-02-25
360,"Tim Urban: Tribalism, Marxism, Liberalism, Social Justice, and Politics",2023-02-20
359,"Andrew Strominger: Black Holes, Quantum Gravity, and Theoretical Physics",2023-02-15
358,"Aella: Sex Work, OnlyFans, Porn, Escorting, Dating, and Human Sexuality",2023-02-10
357,"Pl Conti: Narcissism, Sociopathy, Envy, and the Nature of Good and Evil",2023-02-07
356,"Tim Dodd: SpaceX, Starship, Rocket Engines, and Future of Space Travel",2023-02-02
355,"David Kipping: Alien Civilizations and Habitable Worlds",2023-01-28
354,"Jeremi Suri: American Civil War",2023-01-25
353,"Dennis Whyte: Nuclear Fusion and the Future of Energy",2023-01-21
352,"Omar Suleiman: Islam",2023-01-17
351,"MrBeast: Future of YouTube, Twitter, TikTok, and Instagram",2023-01-11
350,"Betül Kaçar: Origin of Life, Ancient DNA, Panspermia, and Aliens",2022-12-29
349,"Bhaskar Sunkara: The Case for Socialism",2022-12-22
348,"Nathalie Cabrol: Search for Alien Life",2022-12-19
347,"Michael Malice: Christmas Special",2022-12-15
346,"Ed Calderon: Mexican Drug Cartels",2022-12-12
345,"Coffeezilla: SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power",2022-12-08
344,"Noam Brown: AI vs Humans in Poker and Games of Strategic Negotiation",2022-12-06
343,"Roger Gracie: Greatest Jiu Jitsu Competitor of All Time",2022-12-03
342,"Todd Howard: Skyrim, Elder Scrolls 6, Fallout, and Starfield",2022-11-29
341,"Guido van Rossum: Python and the Future of Programming",2022-11-26
340,"Chris Tarbell: FBI Agent Who Took Down Silk Road",2022-11-22
